Course code,Type,Sections
CS F214,FD_CDC,1
CS F222,FD_CDC,1
CS F213,FD_CDC,1
CS F215,FD_CDC,1
CS F351,FD_CDC,1
CS F372,FD_CDC,1
CS F301,FD_CDC,1
CS F342,FD_CDC,1
CS G525,HD_CDC,1
CS G526,HD_CDC,1
CS G623,HD_CDC,1
CS F314,FD_Elec,1
CS F315,FD_Elec,1
CS F316,FD_Elec,1
CS F317,FD_Elec,1
CS F320,FD_Elec,1
CS F401,FD_Elec,1
CS F402,FD_Elec,1
CS F407,FD_Elec,1
CS F413,FD_Elec,1
CS F415,FD_Elec,1
CS F422,FD_Elec,1
CS F424,FD_Elec,1
CS F425,FD_Elec,1
CS F426,FD_Elec,1
CS F427,FD_Elec,1
CS F428,FD_Elec,1
CS F429,FD_Elec,1
CS F430,FD_Elec,1
CS F431,FD_Elec,1
CS F432,FD_Elec,1
CS F433,FD_Elec,1
CS F441,FD_Elec,1
CS F444,FD_Elec,1
CS F446,FD_Elec,1
CS F468,FD_Elec,1
CS F469,FD_Elec,1
CS G516,HD_Elec,1
CS G518,HD_Elec,1
CS G519,HD_Elec,1
CS G520,HD_Elec,1
CS G523,HD_Elec,1
CS G527,HD_Elec,1
CS G541,HD_Elec,1
CS G551,HD_Elec,1
CS G553,HD_Elec,1
CS G554,HD_Elec,1
CS G568,HD_Elec,1
CS G612,HD_Elec,1
